occupation_title,soc_code,median_wage,employment,cluster_v2,cluster_name
Dental Hygienists,29-1292,98100.0,222740.0,1,Mid-Wage Financial & Analytical Specialists
"Healthcare Diagnosing or Treating Practitioners, All Other",29-1299,115210.0,28630.0,4,Quantitative/Technical Specialists & Managers
Cardiovascular Technologists and Technicians,29-2031,74310.0,62960.0,3,Business & Operations Management
Diagnostic Medical Sonographers,29-2032,96590.0,90160.0,1,Mid-Wage Financial & Analytical Specialists
Nuclear Medicine Technologists,29-2033,101370.0,17080.0,4,Quantitative/Technical Specialists & Managers
Radiologic Technologists and Technicians,29-2034,80110.0,230490.0,1,Mid-Wage Financial & Analytical Specialists
Magnetic Resonance Imaging Technologists,29-2035,95480.0,43390.0,1,Mid-Wage Financial & Analytical Specialists
Medical Dosimetrists,29-2036,147470.0,3410.0,4,Quantitative/Technical Specialists & Managers
Paramedics,29-2043,60600.0,100610.0,1,Mid-Wage Financial & Analytical Specialists
Dietetic Technicians,29-2051,37640.0,31560.0,1,Mid-Wage Financial & Analytical Specialists
Pharmacy Technicians,29-2052,45750.0,471680.0,1,Mid-Wage Financial & Analytical Specialists
Psychiatric Technicians,29-2053,45130.0,156960.0,3,Business & Operations Management
Surgical Technologists,29-2055,64650.0,117460.0,1,Mid-Wage Financial & Analytical Specialists
Veterinary Technologists and Technicians,29-2056,47380.0,129140.0,1,Mid-Wage Financial & Analytical Specialists
Ophthalmic Medical Technicians,29-2057,45570.0,71010.0,1,Mid-Wage Financial & Analytical Specialists
Licensed Practical and Licensed Vocational Nurses,29-2061,64400.0,648410.0,3,Business & Operations Management
Medical Records Specialists,29-2072,51140.0,194720.0,1,Mid-Wage Financial & Analytical Specialists
"Opticians, Dispensing",29-2081,47260.0,73530.0,1,Mid-Wage Financial & Analytical Specialists
Orthotists and Prosthetists,29-2091,81110.0,9390.0,4,Quantitative/Technical Specialists & Managers
Hearing Aid Specialists,29-2092,65160.0,11270.0,1,Mid-Wage Financial & Analytical Specialists
"Health Technologists and Technicians, All Other",29-2099,50290.0,182610.0,3,Business & Operations Management
Athletic Trainers,29-9091,62520.0,30500.0,3,Business & Operations Management
Genetic Counselors,29-9092,100040.0,3740.0,4,Quantitative/Technical Specialists & Managers
Surgical Assistants,29-9093,66800.0,22270.0,1,Mid-Wage Financial & Analytical Specialists
"Healthcare Practitioners and Technical Workers, All Other",29-9099,65790.0,35010.0,3,Business & Operations Management
Nursing Assistants,31-1131,42260.0,1448910.0,1,Mid-Wage Financial & Analytical Specialists
Orderlies,31-1132,38290.0,52440.0,0,Niche/Specialized Lower-Mid Wage Roles
Psychiatric Aides,31-1133,44910.0,35520.0,1,Mid-Wage Financial & Analytical Specialists
Occupational Therapy Assistants,31-2011,72300.0,51290.0,1,Mid-Wage Financial & Analytical Specialists
Occupational Therapy Aides,31-2012,39160.0,4310.0,1,Mid-Wage Financial & Analytical Specialists
Physical Therapist Assistants,31-2021,68380.0,112430.0,1,Mid-Wage Financial & Analytical Specialists
Physical Therapist Aides,31-2022,35240.0,48150.0,1,Mid-Wage Financial & Analytical Specialists
Massage Therapists,31-9011,58450.0,98790.0,0,Niche/Specialized Lower-Mid Wage Roles
Dental Assistants,31-9091,48070.0,387790.0,1,Mid-Wage Financial & Analytical Specialists
Medical Assistants,31-9092,45690.0,817870.0,3,Business & Operations Management
Medical Equipment Preparers,31-9093,47700.0,77420.0,1,Mid-Wage Financial & Analytical Specialists
Medical Transcriptionists,31-9094,40410.0,41550.0,1,Mid-Wage Financial & Analytical Specialists
Pharmacy Aides,31-9095,37680.0,39530.0,1,Mid-Wage Financial & Analytical Specialists
Veterinary Assistants and Laboratory Animal Caretakers,31-9096,38150.0,126580.0,1,Mid-Wage Financial & Analytical Specialists
Phlebotomists,31-9097,45230.0,143540.0,1,Mid-Wage Financial & Analytical Specialists
"Healthcare Support Workers, All Other",31-9099,48430.0,109740.0,1,Mid-Wage Financial & Analytical Specialists
First-Line Supervisors of Correctional Officers,33-1011,77970.0,53380.0,3,Business & Operations Management
First-Line Supervisors of Police and Detectives,33-1012,106040.0,154610.0,3,Business & Operations Management
First-Line Supervisors of Firefighting and Prevention Workers,33-1021,93530.0,99140.0,3,Business & Operations Management
First-Line Supervisors of Security Workers,33-1091,55940.0,81480.0,3,Business & Operations Management
Firefighters,33-2011,59280.0,345990.0,1,Mid-Wage Financial & Analytical Specialists
Fire Inspectors and Investigators,33-2021,75920.0,13800.0,1,Mid-Wage Financial & Analytical Specialists
Forest Fire Inspectors and Prevention Specialists,33-2022,56870.0,2780.0,1,Mid-Wage Financial & Analytical Specialists
Bailiffs,33-3011,56600.0,17310.0,0,Niche/Specialized Lower-Mid Wage Roles
Correctional Officers and Jailers,33-3012,58940.0,380500.0,3,Business & Operations Management
Detectives and Criminal Investigators,33-3021,93790.0,114430.0,3,Business & Operations Management
Fish and Game Wardens,33-3031,74060.0,5770.0,1,Mid-Wage Financial & Analytical Specialists
Parking Enforcement Workers,33-3041,46730.0,9050.0,0,Niche/Specialized Lower-Mid Wage Roles
Police and Sheriff's Patrol Officers,33-3051,76210.0,670520.0,3,Business & Operations Management
Transit and Railroad Police,33-3052,90230.0,4390.0,1,Mid-Wage Financial & Analytical Specialists
Animal Control Workers,33-9011,45660.0,12070.0,1,Mid-Wage Financial & Analytical Specialists
Private Detectives and Investigators,33-9021,51220.0,35580.0,3,Business & Operations Management
Gambling Surveillance Officers and Gambling Investigators,33-9031,43370.0,9520.0,1,Mid-Wage Financial & Analytical Specialists
Security Guards,33-9032,38020.0,1283470.0,1,Mid-Wage Financial & Analytical Specialists
Crossing Guards and Flaggers,33-9091,38100.0,94360.0,0,Niche/Specialized Lower-Mid Wage Roles
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092,33580.0,157550.0,1,Mid-Wage Financial & Analytical Specialists
Transportation Security Screeners,33-9093,66770.0,50290.0,1,Mid-Wage Financial & Analytical Specialists
School Bus Monitors,33-9094,35100.0,78420.0,0,Niche/Specialized Lower-Mid Wage Roles
"Protective Service Workers, All Other",33-9099,42540.0,81500.0,1,Mid-Wage Financial & Analytical Specialists
Chefs and Head Cooks,35-1011,62470.0,200040.0,3,Business & Operations Management
First-Line Supervisors of Food Preparation and Serving Workers,35-1012,44080.0,1223240.0,1,Mid-Wage Financial & Analytical Specialists
"Cooks, Fast Food",35-2011,30890.0,641070.0,0,Niche/Specialized Lower-Mid Wage Roles
"Cooks, Institution and Cafeteria",35-2012,37450.0,441050.0,0,Niche/Specialized Lower-Mid Wage Roles
"Cooks, Private Household",35-2013,47940.0,1100.0,0,Niche/Specialized Lower-Mid Wage Roles
"Cooks, Restaurant",35-2014,37390.0,1409890.0,0,Niche/Specialized Lower-Mid Wage Roles
"Cooks, Short Order",35-2015,35880.0,138650.0,0,Niche/Specialized Lower-Mid Wage Roles
Food Preparation Workers,35-2021,35320.0,893600.0,0,Niche/Specialized Lower-Mid Wage Roles
Bartenders,35-3011,34340.0,756390.0,1,Mid-Wage Financial & Analytical Specialists
Fast Food and Counter Workers,35-3023,31200.0,3854050.0,0,Niche/Specialized Lower-Mid Wage Roles
Waiters and Waitresses,35-3031,35230.0,2270910.0,0,Niche/Specialized Lower-Mid Wage Roles
"Food Servers, Nonrestaurant",35-3041,35360.0,293900.0,0,Niche/Specialized Lower-Mid Wage Roles
Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011,33980.0,542750.0,0,Niche/Specialized Lower-Mid Wage Roles
Dishwashers,35-9021,34810.0,477450.0,0,Niche/Specialized Lower-Mid Wage Roles
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031,31200.0,432690.0,0,Niche/Specialized Lower-Mid Wage Roles
First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011,49100.0,178760.0,1,Mid-Wage Financial & Analytical Specialists
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012,58430.0,130760.0,1,Mid-Wage Financial & Analytical Specialists
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011,36840.0,2209760.0,0,Niche/Specialized Lower-Mid Wage Roles
Maids and Housekeeping Cleaners,37-2012,35510.0,860670.0,0,Niche/Specialized Lower-Mid Wage Roles
Pest Control Workers,37-2021,45250.0,102620.0,1,Mid-Wage Financial & Analytical Specialists
Landscaping and Groundskeeping Workers,37-3011,39150.0,952640.0,0,Niche/Specialized Lower-Mid Wage Roles
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3012,46340.0,27050.0,0,Niche/Specialized Lower-Mid Wage Roles
Tree Trimmers and Pruners,37-3013,50960.0,55160.0,0,Niche/Specialized Lower-Mid Wage Roles
First-Line Supervisors of Gambling Services Workers,39-1013,63820.0,26010.0,1,Mid-Wage Financial & Analytical Specialists
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",39-1014,48560.0,103190.0,1,Mid-Wage Financial & Analytical Specialists
First-Line Supervisors of Personal Service Workers,39-1022,48590.0,114110.0,1,Mid-Wage Financial & Analytical Specialists
Animal Trainers,39-2011,39990.0,18770.0,1,Mid-Wage Financial & Analytical Specialists
Animal Caretakers,39-2021,35360.0,266910.0,0,Niche/Specialized Lower-Mid Wage Roles
Gambling Dealers,39-3011,34320.0,83910.0,0,Niche/Specialized Lower-Mid Wage Roles
Gambling and Sports Book Writers and Runners,39-3012,34980.0,8950.0,0,Niche/Specialized Lower-Mid Wage Roles
Motion Picture Projectionists,39-3021,38270.0,1480.0,0,Niche/Specialized Lower-Mid Wage Roles
"Ushers, Lobby Attendants, and Ticket Takers",39-3031,32910.0,121770.0,0,Niche/Specialized Lower-Mid Wage Roles
Amusement and Recreation Attendants,39-3091,32150.0,397830.0,0,Niche/Specialized Lower-Mid Wage Roles
Costume Attendants,39-3092,50400.0,6510.0,0,Niche/Specialized Lower-Mid Wage Roles
"Locker Room, Coatroom, and Dressing Room Attendants",39-3093,36300.0,15560.0,0,Niche/Specialized Lower-Mid Wage Roles
Embalmers,39-4011,58780.0,3890.0,1,Mid-Wage Financial & Analytical Specialists
Funeral Attendants,39-4021,35680.0,31090.0,0,Niche/Specialized Lower-Mid Wage Roles
"Morticians, Undertakers, and Funeral Arrangers",39-4031,55010.0,25100.0,1,Mid-Wage Financial & Analytical Specialists
Barbers,39-5011,38210.0,15000.0,0,Niche/Specialized Lower-Mid Wage Roles
"Hairdressers, Hairstylists, and Cosmetologists",39-5012,35790.0,305710.0,1,Mid-Wage Financial & Analytical Specialists
"Makeup Artists, Theatrical and Performance",39-5091,97150.0,2340.0,1,Mid-Wage Financial & Analytical Specialists
Manicurists and Pedicurists,39-5092,35760.0,152770.0,0,Niche/Specialized Lower-Mid Wage Roles
Shampooers,39-5093,32600.0,8070.0,0,Niche/Specialized Lower-Mid Wage Roles
Skincare Specialists,39-5094,45330.0,72890.0,1,Mid-Wage Financial & Analytical Specialists
Baggage Porters and Bellhops,39-6011,37080.0,28510.0,0,Niche/Specialized Lower-Mid Wage Roles
Concierges,39-6012,38950.0,49240.0,1,Mid-Wage Financial & Analytical Specialists
Childcare Workers,39-9011,34980.0,518910.0,1,Mid-Wage Financial & Analytical Specialists
Exercise Trainers and Group Fitness Instructors,39-9031,47160.0,322930.0,1,Mid-Wage Financial & Analytical Specialists
Recreation Workers,39-9032,36560.0,331490.0,1,Mid-Wage Financial & Analytical Specialists
Residential Advisors,39-9041,42240.0,84760.0,1,Mid-Wage Financial & Analytical Specialists
First-Line Supervisors of Retail Sales Workers,41-1011,48520.0,1121800.0,1,Mid-Wage Financial & Analytical Specialists
First-Line Supervisors of Non-Retail Sales Workers,41-1012,87520.0,214390.0,3,Business & Operations Management
Cashiers,41-2011,32880.0,3089410.0,0,Niche/Specialized Lower-Mid Wage Roles
Gambling Change Persons and Booth Cashiers,41-2012,36220.0,21530.0,0,Niche/Specialized Lower-Mid Wage Roles
Counter and Rental Clerks,41-2021,41300.0,400810.0,1,Mid-Wage Financial & Analytical Specialists
Parts Salespersons,41-2022,38630.0,270070.0,1,Mid-Wage Financial & Analytical Specialists
Retail Salespersons,41-2031,35410.0,3897860.0,1,Mid-Wage Financial & Analytical Specialists
Advertising Sales Agents,41-3011,64820.0,91700.0,1,Mid-Wage Financial & Analytical Specialists
Insurance Sales Agents,41-3021,62280.0,479100.0,1,Mid-Wage Financial & Analytical Specialists
"Securities, Commodities, and Financial Services Sales Agents",41-3031,78660.0,489570.0,1,Mid-Wage Financial & Analytical Specialists
Travel Agents,41-3041,50160.0,55110.0,1,Mid-Wage Financial & Analytical Specialists
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091,69990.0,1256010.0,1,Mid-Wage Financial & Analytical Specialists
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011,104920.0,284800.0,3,Business & Operations Management
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012,72080.0,1238190.0,1,Mid-Wage Financial & Analytical Specialists
Demonstrators and Product Promoters,41-9011,39320.0,64520.0,1,Mid-Wage Financial & Analytical Specialists
Models,41-9012,48470.0,3780.0,0,Niche/Specialized Lower-Mid Wage Roles
Real Estate Brokers,41-9021,73220.0,46100.0,3,Business & Operations Management
Real Estate Sales Agents,41-9022,52830.0,193370.0,1,Mid-Wage Financial & Analytical Specialists
Sales Engineers,41-9031,124900.0,51790.0,4,Quantitative/Technical Specialists & Managers
Telemarketers,41-9041,35450.0,58430.0,0,Niche/Specialized Lower-Mid Wage Roles
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091,41380.0,2760.0,0,Niche/Specialized Lower-Mid Wage Roles
First-Line Supervisors of Office and Administrative Support Workers,43-1011,69500.0,1436680.0,3,Business & Operations Management
"Switchboard Operators, Including Answering Service",43-2011,38630.0,34280.0,0,Niche/Specialized Lower-Mid Wage Roles
Telephone Operators,43-2021,41740.0,3430.0,0,Niche/Specialized Lower-Mid Wage Roles
Bill and Account Collectors,43-3011,47030.0,158830.0,1,Mid-Wage Financial & Analytical Specialists
Billing and Posting Clerks,43-3021,48500.0,404060.0,1,Mid-Wage Financial & Analytical Specialists
"Bookkeeping, Accounting, and Auditing Clerks",43-3031,50670.0,1373680.0,1,Mid-Wage Financial & Analytical Specialists
Gambling Cage Workers,43-3041,37580.0,14430.0,0,Niche/Specialized Lower-Mid Wage Roles
Payroll and Timekeeping Clerks,43-3051,58260.0,153140.0,1,Mid-Wage Financial & Analytical Specialists
Procurement Clerks,43-3061,50580.0,55810.0,3,Business & Operations Management
Tellers,43-3071,43030.0,329480.0,1,Mid-Wage Financial & Analytical Specialists
Brokerage Clerks,43-4011,65750.0,35940.0,1,Mid-Wage Financial & Analytical Specialists
Correspondence Clerks,43-4021,46800.0,4290.0,1,Mid-Wage Financial & Analytical Specialists
"Court, Municipal, and License Clerks",43-4031,48700.0,179750.0,1,Mid-Wage Financial & Analytical Specialists
"Credit Authorizers, Checkers, and Clerks",43-4041,50080.0,12030.0,1,Mid-Wage Financial & Analytical Specialists
Customer Service Representatives,43-4051,44770.0,2595750.0,1,Mid-Wage Financial & Analytical Specialists
"Eligibility Interviewers, Government Programs",43-4061,54210.0,154800.0,1,Mid-Wage Financial & Analytical Specialists
File Clerks,43-4071,43600.0,73440.0,1,Mid-Wage Financial & Analytical Specialists
"Hotel, Motel, and Resort Desk Clerks",43-4081,35070.0,261420.0,1,Mid-Wage Financial & Analytical Specialists
"Interviewers, Except Eligibility and Loan",43-4111,45920.0,148060.0,1,Mid-Wage Financial & Analytical Specialists
"Library Assistants, Clerical",43-4121,36910.0,85520.0,0,Niche/Specialized Lower-Mid Wage Roles
Loan Interviewers and Clerks,43-4131,50020.0,164790.0,3,Business & Operations Management
New Accounts Clerks,43-4141,47670.0,36860.0,1,Mid-Wage Financial & Analytical Specialists
Order Clerks,43-4151,46170.0,75200.0,1,Mid-Wage Financial & Analytical Specialists
"Human Resources Assistants, Except Payroll and Timekeeping",43-4161,50610.0,90220.0,1,Mid-Wage Financial & Analytical Specialists
Receptionists and Information Clerks,43-4171,38010.0,910180.0,1,Mid-Wage Financial & Analytical Specialists
Reservation and Transportation Ticket Agents and Travel Clerks,43-4181,44390.0,118710.0,1,Mid-Wage Financial & Analytical Specialists
Cargo and Freight Agents,43-5011,52260.0,97670.0,1,Mid-Wage Financial & Analytical Specialists
Couriers and Messengers,43-5021,39200.0,68640.0,0,Niche/Specialized Lower-Mid Wage Roles
Public Safety Telecommunicators,43-5031,53040.0,102500.0,1,Mid-Wage Financial & Analytical Specialists
"Dispatchers, Except Police, Fire, and Ambulance",43-5032,50340.0,202810.0,1,Mid-Wage Financial & Analytical Specialists
"Meter Readers, Utilities",43-5041,48150.0,19430.0,0,Niche/Specialized Lower-Mid Wage Roles
Postal Service Clerks,43-5051,62130.0,73720.0,0,Niche/Specialized Lower-Mid Wage Roles
Postal Service Mail Carriers,43-5052,60550.0,328820.0,0,Niche/Specialized Lower-Mid Wage Roles
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053,58470.0,105200.0,0,Niche/Specialized Lower-Mid Wage Roles
"Production, Planning, and Expediting Clerks",43-5061,59650.0,390160.0,1,Mid-Wage Financial & Analytical Specialists
"Shipping, Receiving, and Inventory Clerks",43-5071,45260.0,816870.0,0,Niche/Specialized Lower-Mid Wage Roles
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111,46380.0,53300.0,1,Mid-Wage Financial & Analytical Specialists
Executive Secretaries and Executive Administrative Assistants,43-6011,76590.0,459910.0,1,Mid-Wage Financial & Analytical Specialists
Legal Secretaries and Administrative Assistants,43-6012,55570.0,156280.0,1,Mid-Wage Financial & Analytical Specialists
Medical Secretaries and Administrative Assistants,43-6013,45930.0,961610.0,1,Mid-Wage Financial & Analytical Specialists
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,47540.0,1706790.0,1,Mid-Wage Financial & Analytical Specialists
Data Entry Keyers,43-9021,41340.0,127080.0,0,Niche/Specialized Lower-Mid Wage Roles
Word Processors and Typists,43-9022,49280.0,35010.0,0,Niche/Specialized Lower-Mid Wage Roles
Desktop Publishers,43-9031,55290.0,3350.0,1,Mid-Wage Financial & Analytical Specialists
Insurance Claims and Policy Processing Clerks,43-9041,49230.0,214260.0,1,Mid-Wage Financial & Analytical Specialists
"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051,39280.0,55230.0,0,Niche/Specialized Lower-Mid Wage Roles
"Office Clerks, General",43-9061,45010.0,2464940.0,1,Mid-Wage Financial & Analytical Specialists
"Office Machine Operators, Except Computer",43-9071,40960.0,25130.0,0,Niche/Specialized Lower-Mid Wage Roles
Proofreaders and Copy Markers,43-9081,51120.0,4580.0,0,Niche/Specialized Lower-Mid Wage Roles
Statistical Assistants,43-9111,50330.0,4710.0,4,Quantitative/Technical Specialists & Managers
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011,59320.0,27960.0,1,Mid-Wage Financial & Analytical Specialists
Agricultural Inspectors,45-2011,49940.0,14410.0,1,Mid-Wage Financial & Analytical Specialists
Animal Breeders,45-2021,51130.0,1330.0,0,Niche/Specialized Lower-Mid Wage Roles
"Graders and Sorters, Agricultural Products",45-2041,35730.0,25180.0,0,Niche/Specialized Lower-Mid Wage Roles
Agricultural Equipment Operators,45-2091,41730.0,28500.0,0,Niche/Specialized Lower-Mid Wage Roles
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-2092,35660.0,265500.0,0,Niche/Specialized Lower-Mid Wage Roles
"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-2093,36670.0,32810.0,0,Niche/Specialized Lower-Mid Wage Roles
Forest and Conservation Workers,45-4011,43680.0,6050.0,0,Niche/Specialized Lower-Mid Wage Roles
Fallers,45-4021,52100.0,3130.0,0,Niche/Specialized Lower-Mid Wage Roles
Logging Equipment Operators,45-4022,49740.0,21060.0,0,Niche/Specialized Lower-Mid Wage Roles
Log Graders and Scalers,45-4023,46330.0,3070.0,0,Niche/Specialized Lower-Mid Wage Roles
First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,79920.0,812210.0,1,Mid-Wage Financial & Analytical Specialists
Boilermakers,47-2011,76410.0,10190.0,0,Niche/Specialized Lower-Mid Wage Roles
Brickmasons and Blockmasons,47-2021,62120.0,52550.0,0,Niche/Specialized Lower-Mid Wage Roles
Stonemasons,47-2022,57390.0,7820.0,0,Niche/Specialized Lower-Mid Wage Roles
Carpenters,47-2031,60580.0,670090.0,1,Mid-Wage Financial & Analytical Specialists
Carpet Installers,47-2041,50340.0,13780.0,0,Niche/Specialized Lower-Mid Wage Roles
"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042,56460.0,23640.0,0,Niche/Specialized Lower-Mid Wage Roles
Floor Sanders and Finishers,47-2043,50440.0,3720.0,0,Niche/Specialized Lower-Mid Wage Roles
Tile and Stone Setters,47-2044,55690.0,35850.0,0,Niche/Specialized Lower-Mid Wage Roles
Cement Masons and Concrete Finishers,47-2051,57020.0,206170.0,0,Niche/Specialized Lower-Mid Wage Roles
Terrazzo Workers and Finishers,47-2053,76170.0,1180.0,0,Niche/Specialized Lower-Mid Wage Roles
Construction Laborers,47-2061,47120.0,1096780.0,0,Niche/Specialized Lower-Mid Wage Roles
"Paving, Surfacing, and Tamping Equipment Operators",47-2071,53340.0,41820.0,0,Niche/Specialized Lower-Mid Wage Roles
Pile Driver Operators,47-2072,73300.0,2310.0,0,Niche/Specialized Lower-Mid Wage Roles
Operating Engineers and Other Construction Equipment Operators,47-2073,59850.0,478090.0,0,Niche/Specialized Lower-Mid Wage Roles
Drywall and Ceiling Tile Installers,47-2081,58930.0,83080.0,0,Niche/Specialized Lower-Mid Wage Roles
Tapers,47-2082,68270.0,12840.0,0,Niche/Specialized Lower-Mid Wage Roles
Electricians,47-2111,63190.0,757220.0,1,Mid-Wage Financial & Analytical Specialists
Glaziers,47-2121,57080.0,58480.0,0,Niche/Specialized Lower-Mid Wage Roles
"Insulation Workers, Floor, Ceiling, and Wall",47-2131,49120.0,44440.0,0,Niche/Specialized Lower-Mid Wage Roles
"Insulation Workers, Mechanical",47-2132,58340.0,25660.0,0,Niche/Specialized Lower-Mid Wage Roles
"Painters, Construction and Maintenance",47-2141,49400.0,225190.0,0,Niche/Specialized Lower-Mid Wage Roles
Paperhangers,47-2142,52140.0,1570.0,0,Niche/Specialized Lower-Mid Wage Roles
Pipelayers,47-2151,49000.0,33050.0,0,Niche/Specialized Lower-Mid Wage Roles
"Plumbers, Pipefitters, and Steamfitters",47-2152,63800.0,465840.0,0,Niche/Specialized Lower-Mid Wage Roles
Plasterers and Stucco Masons,47-2161,57660.0,19310.0,0,Niche/Specialized Lower-Mid Wage Roles
Reinforcing Iron and Rebar Workers,47-2171,58970.0,13800.0,0,Niche/Specialized Lower-Mid Wage Roles
Roofers,47-2181,55440.0,135490.0,0,Niche/Specialized Lower-Mid Wage Roles
Sheet Metal Workers,47-2211,61800.0,119770.0,0,Niche/Specialized Lower-Mid Wage Roles
Structural Iron and Steel Workers,47-2221,62780.0,68380.0,0,Niche/Specialized Lower-Mid Wage Roles
Solar Photovoltaic Installers,47-2231,53140.0,31350.0,0,Niche/Specialized Lower-Mid Wage Roles
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-3011,47550.0,14170.0,0,Niche/Specialized Lower-Mid Wage Roles
Helpers--Carpenters,47-3012,43780.0,21680.0,0,Niche/Specialized Lower-Mid Wage Roles
Helpers--Electricians,47-3013,42670.0,63630.0,0,Niche/Specialized Lower-Mid Wage Roles
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47-3014,40470.0,7490.0,0,Niche/Specialized Lower-Mid Wage Roles
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-3015,42360.0,44330.0,0,Niche/Specialized Lower-Mid Wage Roles
Helpers--Roofers,47-3016,44160.0,6030.0,0,Niche/Specialized Lower-Mid Wage Roles
Construction and Building Inspectors,47-4011,74690.0,146720.0,1,Mid-Wage Financial & Analytical Specialists
Elevator and Escalator Installers and Repairers,47-4021,109910.0,23790.0,1,Mid-Wage Financial & Analytical Specialists
Fence Erectors,47-4031,47980.0,24480.0,0,Niche/Specialized Lower-Mid Wage Roles
Hazardous Materials Removal Workers,47-4041,49450.0,51710.0,0,Niche/Specialized Lower-Mid Wage Roles
Highway Maintenance Workers,47-4051,50260.0,154960.0,0,Niche/Specialized Lower-Mid Wage Roles
Rail-Track Laying and Maintenance Equipment Operators,47-4061,70070.0,19580.0,0,Niche/Specialized Lower-Mid Wage Roles
Septic Tank Servicers and Sewer Pipe Cleaners,47-4071,49880.0,30650.0,0,Niche/Specialized Lower-Mid Wage Roles
"Derrick Operators, Oil and Gas",47-5011,58620.0,10590.0,1,Mid-Wage Financial & Analytical Specialists
"Rotary Drill Operators, Oil and Gas",47-5012,67890.0,12600.0,1,Mid-Wage Financial & Analytical Specialists
"Service Unit Operators, Oil and Gas",47-5013,58160.0,43140.0,1,Mid-Wage Financial & Analytical Specialists
"Excavating and Loading Machine and Dragline Operators, Surface Mining",47-5022,57430.0,34480.0,0,Niche/Specialized Lower-Mid Wage Roles
"Earth Drillers, Except Oil and Gas",47-5023,60190.0,19450.0,0,Niche/Specialized Lower-Mid Wage Roles
"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5032,61390.0,5100.0,1,Mid-Wage Financial & Analytical Specialists
Continuous Mining Machine Operators,47-5041,61810.0,14000.0,0,Niche/Specialized Lower-Mid Wage Roles
"Roof Bolters, Mining",47-5043,78540.0,2160.0,0,Niche/Specialized Lower-Mid Wage Roles
"Loading and Moving Machine Operators, Underground Mining",47-5044,74500.0,5930.0,0,Niche/Specialized Lower-Mid Wage Roles
"Rock Splitters, Quarry",47-5051,48740.0,3320.0,0,Niche/Specialized Lower-Mid Wage Roles
"Roustabouts, Oil and Gas",47-5071,46960.0,44970.0,0,Niche/Specialized Lower-Mid Wage Roles
Helpers--Extraction Workers,47-5081,47730.0,6700.0,0,Niche/Specialized Lower-Mid Wage Roles
"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011,79860.0,617500.0,3,Business & Operations Management
"Computer, Automated Teller, and Office Machine Repairers",49-2011,47810.0,65600.0,1,Mid-Wage Financial & Analytical Specialists
"Radio, Cellular, and Tower Equipment Installers and Repairers",49-2021,63520.0,11140.0,1,Mid-Wage Financial & Analytical Specialists
"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022,63890.0,140920.0,1,Mid-Wage Financial & Analytical Specialists
Avionics Technicians,49-2091,82280.0,18830.0,1,Mid-Wage Financial & Analytical Specialists
"Electric Motor, Power Tool, and Related Repairers",49-2092,56210.0,14450.0,1,Mid-Wage Financial & Analytical Specialists
"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093,84890.0,6940.0,0,Niche/Specialized Lower-Mid Wage Roles
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094,74090.0,65010.0,1,Mid-Wage Financial & Analytical Specialists
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095,103020.0,20720.0,1,Mid-Wage Financial & Analytical Specialists
"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096,48420.0,8550.0,0,Niche/Specialized Lower-Mid Wage Roles
Audiovisual Equipment Installers and Repairers,49-2097,52600.0,19780.0,0,Niche/Specialized Lower-Mid Wage Roles
Security and Fire Alarm Systems Installers,49-2098,60070.0,86340.0,1,Mid-Wage Financial & Analytical Specialists
Aircraft Mechanics and Service Technicians,49-3011,79870.0,138090.0,1,Mid-Wage Financial & Analytical Specialists
Automotive Body and Related Repairers,49-3021,54890.0,149310.0,0,Niche/Specialized Lower-Mid Wage Roles
